topic_id,representative_idea,representative_why,primary_cat,all_categories,quality,num_unique_ideas,num_total_claims,num_speakers,num_videos,top_ideas,speakers,asset,market,freq,india
11,"He believes the AI winners today are chip sellers, firms with data, and connected infrastructure providers, while software beneficiaries remain unclear.",Value accrues first to scarce infrastructure and data owners.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MARKET_STRUCTURE"", ""TOOL"", ""MACRO"", ""ALT_DATA""]",high,61,113,60,80,"[H] He believes the AI winners today are chip sellers, firms with data, and connected infrastructure pro | [H] He says Nvidia and the broader AI trade are benefiting mainly because firms are stocking chips for d | [H] He argues the AI spend is showing up in old-line industrials, especially names tied to robotics, HVA | [H] The AI cycle and AI investment thesis are expected to broaden further in 2025, remaining especially  | [H] He expects Tech and AI to keep leading, but also sees Financials and Industrials as next beneficiari","[""Akshat Shrivastava"", ""Alo Gup"", ""Amari Guusman"", ""Andrew Ross Sorkin"", ""Andrew Tyler"", ""Andrew Tyler and John Schlagel"", ""Aswath Damodaran"", ""Aun Duws and Philippe Gasil"", ""Barry Eichengreen"", ""Brandon McBee""]",equities,global,daily,adaptable
12,"If markets have different Sharpe ratios, it can be optimal to abandon low-Sharpe markets even if they add diversification.",Capital is better allocated to higher-risk-adjusted opportunities.,STRATEGY,"[""STRATEGY"", ""RISK""]",high,54,94,57,74,"[H] If markets have different Sharpe ratios, it can be optimal to abandon low-Sharpe markets even if the | [H] Since 2000, the strategy delivered 12.8% annualized return, 16.21% volatility, 0.83 Sharpe, and 40.8 | [H] The strategy posted a Sharpe ratio of 1.03, a 24% maximum drawdown, and negative correlation to the  | [H] She says Sharpe ratios are misleading because they hide risk, so conditional correlation analysis is | [H] He says the best strategy is not simply the highest Sharpe strategy; if leverage or Gaussian risk as","[""Adam Butler, Mike Philbrick, Rodrigo Gordillo"", ""Anders Lindell"", ""Andreas Clenow"", ""Andrew Beer"", ""Brian Portnoy"", ""Cam Harvey"", ""Chris Pulman"", ""Cliff Asness"", ""Dr. Alec Schmidt"", ""Dr. Jess Stauth""]",multi,global,unclear,adaptable
13,"In March 2020, Treasury liquidity became far worse than volatility alone would predict, showing the market could not intermediate extreme liquidity demands.",Intermediation capacity broke under stress.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,47,67,55,60,"[H] In March 2020, Treasury liquidity became far worse than volatility alone would predict, showing the  | [H] The current environment suggests a new regime where US bonds and the dollar may no longer behave lik | [H] Recent market weakness is better explained by changes in reserves and liquidity than by headline QT  | [H] The market had been uniformly strong in Q1, with new issues across double-B fixed, leveraged loans,  | [H] Fed emergency actions in 2020 fixed Treasury stress only partially; liquidity still took five to eig","[""Andrei Kirilenko"", ""Andrew Beer and Tom Roble"", ""Andrew Tyler"", ""Andrew Tyler / Federico Manikardi"", ""Andrew Tyler / John Schlegel"", ""Andrew Tyler and John Schlagel"", ""Aneel? / Kevin Foley? / Kathleen Darling"", ""Barry Eichengreen"", ""Christian O'Donnell"", ""Corey Hoffstein""]",bonds,us,minute,unlikely
14,The trade encourages poor habits because it wins about 90% of the time and tempts traders to add size into losses.,High win rate masks rare but severe tail losses.,RISK,"[""STRATEGY"", ""RISK""]",high,78,116,53,101,"[H] They warned the tiny intraday reversal effect is unlikely profitable after brokerage and other trans | [H] The trade encourages poor habits because it wins about 90% of the time and tempts traders to add siz | [H] He says a 0.5 Sharpe strategy is real if uncorrelated, but fat tails create brutal periods even when | [H] He closed the heating oil position because volatility made the trade too risky for his capital. | [H] He warns that being too open-minded is dangerous because you can abandon a 200-year-old edge after a","[""Akat"", ""Akat Sastav"", ""Akshat Shrivastava"", ""Anupria"", ""Anurag Sharma"", ""Art Holly"", ""Chris Sidial"", ""Cliff Asness"", ""Daniel Crosby"", ""Daniel Grioli""]",multi,global,unclear,adaptable
15,"Managed futures are framed as a long-cycle diversifier: not a hedge every day, but a portfolio balancer across several market cycles.",Low correlation helps over full cycles.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MARKET_STRUCTURE"", ""TOOL"", ""ALT_DATA""]",medium,54,92,52,72,"[H] He says managed futures deteriorated after the 'heyday' because too many speculators crowded in and  | [H] They treat managed futures as a portfolio beta, not a standalone product, and optimize for positive  | [H] He is building a broader futures universe by scanning every futures market worldwide and excluding m | [H] Their institutional offering deliberately excludes equities in the managed-futures sleeve because cl | [H] Mt Lucas’s MLM index is a 22-market managed-futures system that goes long above and short below a on","[""Adam Butler"", ""Alan Clement"", ""Andreas Clenow"", ""Andrew"", ""Andrew Baxter"", ""Andrew Beer"", ""Andrew Lo"", ""Anthony Todd"", ""Aref Karim"", ""Arthur Bell, Jennifer Sunu, JP Bruynes""]",futures,global,daily,direct
16,"Gold and some precious metals were bright spots, and energies also provided crisis offset for trend-followers.",Diversifying crisis trends offset financial-sector losses.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""ALT_DATA"", ""RISK""]",high,71,166,51,119,"[H] Gold and some precious metals were bright spots, and energies also provided crisis offset for trend- | [H] His biggest winners were heating oil, Brent crude, WTI crude, corn, iron, gold, and some soy markets | [H] AHL's Diversified fund, a traditional futures trend strategy, was up 8.6% in the three months to end | [H] In 1995, the system was up about 43% gross, with most gains coming from the discretionary-mimic and  | [H] Their best 2020 family was flows, followed by sentiment, after trend-following worked in Q1 and then","[""Ahan Menon"", ""Akshat Shrivastava"", ""Alan Dunne"", ""Alexander Mende"", ""Andrew Beer"", ""Anthony Todd"", ""Cem Karsan"", ""Edward Tiesi"", ""Eric Crittenden"", ""Gareth Abbot / Richard Lil""]",futures,global,daily,adaptable
17,He said the Fed’s extended QT runway matters because the stock of Fed holdings affects yield levels and helps keep long rates higher.,Balance-sheet runoff reduces price-insensitive demand and steepens term premia.,MARKET_STRUCTURE,"[""STRATEGY"", ""RISK"", ""MICROSTRUCTURE"", ""MARKET_STRUCTURE"", ""MACRO""]",high,53,73,51,66,"[H] He said the Fed’s extended QT runway matters because the stock of Fed holdings affects yield levels  | [H] He argues the Fed transmission mechanism is working faster now because financial conditions have alr | [H] He argues front-end rates from zero to five years are effectively a Fed trade, while the back end is | [H] He argues the Fed is unlikely to be strongly reflexive to stock-market shorts because its primary ma | [H] He attributes worse drawdowns partly to central-bank-driven low and negative rates increasing levera","[""Akshat"", ""Akshat Shrivastava"", ""Alan Dunne"", ""Amar Reganti"", ""Anil Kashyap"", ""Anna Stupnytska"", ""Austan Goolsbee"", ""Ben Hunt"", ""Bob Prince"", ""Cem Karsan""]",bonds,us,monthly,adaptable
18,"He argues successful quant methods start from a well-understood trading edge and are then systematized, not discovered by raw data mining.",Experience provides the thesis; math then mechanizes it.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MARKET_STRUCTURE"", ""TOOL"", ""ALT_DATA""]",high,58,84,49,74,"[H] He argues successful quant methods start from a well-understood trading edge and are then systematiz | [H] He says his core philosophy is systematic trading, not discretionary trading, and warns against curv | [H] He says many machine learning models for images or self-driving cars are not necessarily useful in f | [H] Euclidean was founded in 2008 to use machine learning on public fundamentals and price to classify s | [H] Dunn keeps looking at machine learning and short-term trading, but says short-term parameters never ","[""Adam Butler"", ""Andrew Butler"", ""Arthur Book"", ""Asha Mehta"", ""Bill Gebhardt"", ""Christelle Armenio"", ""Cranium B host"", ""Don Wilson"", ""Dr. Ernest Chan"", ""Dr. Tucker Balch""]",multi,global,unclear,adaptable
19,"Goldilocks soft landing is statistically rare; he cites 12 tightening cycles, eight recessions, and only four arguable soft landings since the 1960s.",Historical base rates make benign outcomes uncommon.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MARKET_STRUCTURE"", ""MACRO"", ""ALT_DATA""]",high,52,70,49,61,"[H] Goldilocks soft landing is statistically rare; he cites 12 tightening cycles, eight recessions, and  | [H] He says the biggest market risk is consensus extrapolating soft landing too far, because the trade o | [H] He argues 1995-like soft landing is plausible because goods inflation is 0-2%, housing inflation is  | [H] PIMCO expects a prolonged but fairly mild recession, with core CPI still near 5.5% at year-end and a | [H] Six of the last seven major US labor releases surprised to the downside, shifting hard-landing odds ","[""Akshat Shrivastava"", ""Alan Dunne"", ""Alfonso Peccatiello"", ""Andrew Beer"", ""Andrew Tyler"", ""Andrew Tyler and John Schlagel"", ""Anna Stupnytska"", ""Anna Wong"", ""Anthony Palone and John Sim"", ""Brian Trunzo""]",multi,global,unclear,adaptable
20,The paper claims 87.5% of trades use exactly one lot when the spread is not constrained by one tick.,Market makers minimize adverse-selection by displaying minimum depth.,MICROSTRUCTURE,"[""MICROSTRUCTURE"", ""STRATEGY"", ""MARKET_STRUCTURE""]",high,58,91,46,77,"[H] The paper claims 87.5% of trades use exactly one lot when the spread is not constrained by one tick. | [H] Execution timing matters only when markets move: delaying a 10:00 a.m. signal to 10:10 can lose abou | [H] The authors find economically significant increases in spreads paid by retail traders under order co | [H] Runs stop when one more quote improvement would make expected profit negative, not necessarily when  | [H] The paper’s key result is that small relative ticks favor price-time priority, while large relative ","[""Albert Menkveld"", ""Andrew Beer & Jerry Parker"", ""BNS Kumar"", ""Brian Nigito"", ""Chester Spatt"", ""Chris Cruden"", ""Christelle Armenio"", ""Cory Hoffstein and Adam Butler"", ""Daniel Schultz"", ""David Bush""]",equities,global,tick,unclear
21,"Post-crisis regulation made single-manager hedge funds harder to launch because operational, reporting, and risk burdens rose sharply.",Compliance and infrastructure costs increased entry barriers.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""ALT_DATA"", ""RISK""]",high,44,72,43,52,"[H] Post-crisis regulation made single-manager hedge funds harder to launch because operational, reporti | [H] Ella says the hedge fund portfolio is designed as a buffer to equity risk premia, combining discreti | [H] He says the Ontario Securities Commission approved a closed-end fund first, but the U.S. ETF approva | [H] An equally weighted portfolio of the top 10 trend followers from the Nielseni hedge database returne | [M] Hedge fund strategy mix shifted from macro, long/short, and merger arb toward quant and multistrat a","[""Alexander de Brun"", ""Amy flickery"", ""Andrew"", ""Andrew B"", ""Andrew Beer"", ""Andrew Beer and Tom Roble"", ""Andrew Tyler"", ""Andrew Tyler and John Schlagel"", ""Anna's Lyndell"", ""Arthur Bell, Jennifer Sunu, JP Bruynes""]",multi,global,unclear,adaptable
22,"Across minutes to decades, markets show different regimes: intraday mean reversion, 3-12 month trend persistence, and multi-year reversion or persistence flips.",Different horizons reflect different trader behaviors and slow-moving fundamentals.,STRATEGY,"[""MICROSTRUCTURE"", ""STRATEGY"", ""RISK""]",high,37,59,43,50,"[H] Across minutes to decades, markets show different regimes: intraday mean reversion, 3-12 month trend | [H] He says price prediction is hyped, but can work when returns depend on nonlinear thresholds, categor | [H] Predicting returns directly is the hardest target because profitable predictions get arbitraged away | [H] Groups one and two are designed to hold trades roughly one month to three months, while group three  | [H] Kaiser Trading runs the same short-term systematic models and parameter set across bonds, stocks, cu","[""Andreas Clenow"", ""Andrew Tyler / John Schlegel"", ""Aneet Chachra"", ""Anna's Lyndell"", ""Chem Chim"", ""Chris Cruden"", ""Christos Glinavos"", ""Dr. Ernie Chan"", ""Dr. Tom Starke"", ""Dr. Xiao Qiao""]",multi,global,minute,adaptable
23,"New value stocks are younger firms with strong ROE, strong ROA, and high sales growth that became value after a stock-price drop.",Market overreaction creates temporary discounts.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,58,102,42,76,"[H] New value stocks are younger firms with strong ROE, strong ROA, and high sales growth that became va | [H] Their value paper, written with data ending in November 1999, said cheap versus expensive stocks wer | [H] Among three groups, contrarian value was cheapest and outperformed both glamour and high-growth hybr | [H] The value premium is driven mostly by stocks that migrated into value or growth in the last two year | [H] Undervalued portfolios often start with falling earnings, then earnings turn around after purchase; ","[""Aat? (channel host not explicitly named)"", ""Adam Butler, Mike Philbrick, Rodrigo Gordillo"", ""Akshat Shrivastava"", ""Alpha Architect"", ""Anders Lindell"", ""Andrew Tyler and John Schlagel"", ""Axhat"", ""Clayton Gillespie"", ""Cliff Asness"", ""Clint Stone""]",equities,global,daily,adaptable
24,"Dever says the main advantage of systematic trading is disciplined risk management, preventing rationalized holding of losing positions.",Rules override emotional loss aversion and denial.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""TOOL"", ""RISK""]",high,39,67,42,62,"[H] Dever says the main advantage of systematic trading is disciplined risk management, preventing ratio | [H] Covenant chose systematic trading because it allows historical backtesting, repeatability across mar | [M] Systematic trading means rules decide what to buy, sell, and size, instead of discretionary judgment | [M] He emphasized that trading psychology must match the strategy, or even a good system will be abandon | [M] He credits Chris Hohn/Crispin Odey-style mentorship with teaching him to misbehave, embrace mistakes","[""Adam Butler"", ""Anna's Lyndell"", ""Aref Karim"", ""Art Holly"", ""Dave Drew"", ""Dr. Euan Sinclair"", ""Dr. Roger Sen"", ""Gilles Laurentin"", ""Hugh Hendry"", ""Jack Schwager""]",multi,global,unclear,adaptable
25,"Credit stress is turning, with default rates, bankruptcies, and delinquency rates on consumer debt all rising.",Tighter credit can spread weakness beyond labor markets.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""MACRO"", ""RISK""]",high,39,58,42,51,"[H] Credit stress is turning, with default rates, bankruptcies, and delinquency rates on consumer debt a | [H] U.S. higher rates have passed through slowly because corporates locked liabilities 15-20 years and h | [H] The Fed’s pain threshold is wider credit spreads, not equity declines alone, because spread widening | [H] He says raising rates again would probably accelerate the regional-bank lending slowdown, though muc | [H] White argues prolonged easing increases debt ratios, making firms vulnerable in both good and bad st","[""Adam Butler / Mike Philbrick / Rodrigo Gordillo"", ""Akshat"", ""Alan Dunne"", ""Alfonso Peccatiello"", ""Anna Wong"", ""Brian Trosi"", ""Brian Trosi / Brian Rubin / Michael Shear"", ""Dan Pumbo"", ""Daniel Rudnicki / Ben Thompson / Natalie Neter"", ""Daniel Rudnicki Schum, Andrew Crook, Daniel Lamy""]",unspecified,global,monthly,adaptable
26,A 52% maximum drawdown is a major red flag because recovery from losing half the capital is very hard.,Large drawdowns damage survivability and compounding.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,51,74,41,60,"[H] A 52% maximum drawdown is a major red flag because recovery from losing half the capital is very har | [H] Maximum drawdowns over 63, 126, and 252 days account for over 50% of the model's decision weight. | [H] The top-one strategy had a maximum drawdown of -21.85%, slightly worse than the benchmark's -18.33%. | [H] A 5% intra-month drawdown triggers 25% de-leveraging in the losing spreads, while 7.5% drawdown trig | [H] For IID returns, expected drawdown is roughly half of Kelly fraction, so full Kelly implies about 50","[""Aat"", ""Akshat Shrivastava"", ""Andreas Clenow"", ""Bill Dries"", ""Chris Schindler"", ""Dr. Ernest Chan"", ""Dr. Jessica South"", ""Jason Buck"", ""Jerry Parker"", ""Jerry Parker / Moritz / Niels""]",equities,global,daily,adaptable
27,The unemployment rate has risen 60 bps from its low and is increasing about 30 bps every five months.,Labor slack is building faster than the Fed expects.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""MACRO"", ""RISK""]",high,41,66,39,47,"[H] The unemployment rate has risen 60 bps from its low and is increasing about 30 bps every five months | [H] He projects unemployment at 4.4% by year-end, above the Fed's implied path. | [H] The current inflation cycle should not be judged using the last time unemployment was 3.7% because s | [H] He argues the last six months are inconsistent with that historical pattern because inflation fell,  | [H] She argues the unemployment rise reflects more labor supply plus slower hiring, not necessarily dema","[""Alan Dunne"", ""Anders Lindell"", ""Andrew Tyler"", ""Andrew Tyler and John Schlagel"", ""Anna Wong"", ""Austan Goolsbee"", ""Bob"", ""Claudia Sahm"", ""Dario Perkins"", ""Jan Hatzius""]",unspecified,us,monthly,unclear
28,"A long/short portfolio buying positive-news names and shorting negative-news names can outperform before costs, but costs materially reduce the edge.",News-based mispricing decays slowly enough to trade.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,37,59,39,52,"[H] Short-selling research should start with understanding the business, competition, customers, and gro | [H] A long/short portfolio buying positive-news names and shorting negative-news names can outperform be | [H] Adding a short model with the same features lifted annual return to 31.6% and Sharpe to 1.24, but ma | [H] Peccatiello says he is short the S&P 500, short BTPs against long bonds, and short U.S. credit sprea | [H] In bearish VIX regimes, long allocation was cut from 1.1x capital to 0.1x while shorts stayed at 0.2","[""Alfonso Peccatiello and Andreas Steno Larsen"", ""Amit Goyal"", ""Andrew Beer"", ""Dr. Alejandro Lopez-Lira"", ""Dr. Ernest Chan"", ""Dr. Jess Stauth"", ""Dr. Jessica South"", ""Dr. Jessica Stauth"", ""Ernie Chan"", ""Hye-Won""]",equities,us,daily,adaptable
29,He learned that buying options on every name in an early long basket reduced gap risk but became so expensive that the portfolio stopped making money.,Insurance premium overwhelmed returns.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,45,58,37,52,"[H] He learned that buying options on every name in an early long basket reduced gap risk but became so  | [H] The book argues wealth management should maximize a utility function with loss aversion and reflecti | [H] He argues portfolio-manager and analyst decisions should be treated as a quantitative optimization p | [H] Eckhardt says most traders build profitable systems first and bolt risk control on later, but ETC de | [H] He warned that unrealized securities losses bigger than shareholders’ funds are a precursor to troub","[""Adam Butler, Mike Philbrick, Rodrigo Gordillo"", ""Akshat Shrivastava"", ""Alan Dunne"", ""Anders Lindell"", ""Andrew Baxter"", ""Ben Reeds"", ""Bill Eckhardt"", ""Corey Hoffstein"", ""Cullen Roche"", ""Dan Davies""]",equities,us,daily,adaptable
30,Post-2009 funded long-vol funds relied mainly on implied-vol expansion and convexity from downside equity selloffs because that was the only meaningful tool available.,Out-of-the-money convexity pays when implied volatility rises sharply in crashes.,STRATEGY,"[""MICROSTRUCTURE"", ""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,40,56,37,45,"[H] Post-2009 funded long-vol funds relied mainly on implied-vol expansion and convexity from downside e | [H] His volatility program sold volatility aggressively when VIX fell more than three points while the S | [H] Short volatility is effectively betting that normality will continue, while long volatility bets on  | [H] Low realized volatility can become self-reinforcing until markets rally enough for call buyers and p | [H] Volatility sellers can outperform when protection demand is structurally high, because they earn the","[""Adam Butler / Mike Philbrick / Rodrigo Gordillo"", ""Alexandre Ribeiro"", ""Aref Karim"", ""Arno Joa"", ""Ben Eert"", ""Benn Eifert"", ""Cem Karsan"", ""Cesar Alvarez"", ""Charlie McElligott"", ""Chris Sidial""]",equities,us,unclear,adaptable
